Quale servizio di storage OCI è ideale per lo 'Shared Storage for Compute' ed è adatto a container e workload di big data?,File Storage.
Quale servizio di storage di OCI è progettato come 'Storage for Web' e opera a livello di Regione?,Object Storage.
Per quale tipo di dati è ideale l'OCI Object Storage?,"È ideale per dati non strutturati come log, immagini e video."
Cos'è una Virtual Cloud Network (VCN) in OCI?,"È una rete software-defined personalizzabile e privata, equivalente virtuale di una rete on-premises tradizionale."
"All'interno di una VCN, cosa è possibile definire per gestire il traffico?","È possibile definire subnet, route table, gateway e regole firewall."
"Quale servizio di OCI permette connessioni private dedicate da 1, 10 o 100 Gb/sec tra l'infrastruttura del cliente e Oracle Cloud?",FastConnect.
Qual è un elemento distintivo della rete OCI che facilita scenari multicloud avanzati?,La possibilità di connessione diretta con Microsoft Azure in diverse regioni globali con bassissima latenza.
"In OCI, le subnet permettono di dividere i prefissi _____ in prefissi più piccoli.",CIDR.
"Nella notazione CIDR 192.168.1.0/24, cosa rappresentano i primi 24 bit?",Rappresentano l'indirizzo di rete (network address).
"Nella notazione CIDR 192.168.1.0/24, cosa rappresentano gli ultimi 8 bit?",Rappresentano l'indirizzo dell'host (host address).
"Dato il Network ID 192.168.1.0/24, quale sarebbe il primo indirizzo host utilizzabile?",192.168.1.1.
"Dato il Network ID 192.168.1.0/24, quale sarebbe l'ultimo indirizzo host utilizzabile?",192.168.1.254.
"Dato il Network ID 192.168.1.0/24, quale indirizzo è riservato per il broadcast?",192.168.1.255.
